,train_loss,test_loss,train_acc,test_acc,train_mse,train_mae,test_mse,test_mae
29,6203.743817210197,1126.3722915649414,-0.27779972553253174,-0.0383608341217041,311.4803,12.608305,284.23422,13.7126
30,6036.705488204956,1111.1289978027344,-0.24357271194458008,-0.023695826530456543,303.137,12.401711,280.2199,13.762116
31,5880.862707614899,1097.8450012207031,-0.21164381504058838,-0.010832071304321289,295.35394,12.237194,276.69867,13.815233
32,5735.789654254913,1086.4341735839844,-0.18192732334136963,0.00030857324600219727,288.11017,12.091263,273.64908,13.875722
33,5603.885021209717,1076.9810028076172,-0.1549142599105835,0.009633541107177734,281.52536,11.963236,271.09653,13.935523
34,5483.919693470001,1069.2810668945312,-0.13035356998443604,0.017332255840301514,275.5384,11.852572,268.98914,13.993142
35,5374.548206329346,1063.1431045532227,-0.1079709529876709,0.023582279682159424,270.0823,11.7550335,267.2783,14.049398
36,5274.641592025757,1058.3988571166992,-0.08753573894500732,0.028539836406707764,265.10098,11.669969,265.92123,14.112125
37,5183.307777404785,1054.9018096923828,-0.06886506080627441,0.03234052658081055,260.54977,11.61201,264.88086,14.185476
38,5099.933570861816,1052.529151916504,-0.05183279514312744,0.035096943378448486,256.39792,11.569232,264.12634,14.262798
39,5023.944398880005,1051.1570892333984,-0.036322832107543945,0.03692150115966797,252.61717,11.5333185,263.6269,14.344417
40,4954.903869628906,1050.6657257080078,-0.02224588394165039,0.03792154788970947,249.18571,11.503769,263.35315,14.423243
41,4892.420989990234,1050.868423461914,-0.00952160358428955,0.03826397657394409,246.08401,11.480344,263.25943,14.498077
42,4836.064247131348,1051.510726928711,0.0019373893737792969,0.03817737102508545,243.29074,11.461041,263.2831,14.566967
43,4785.131988525391,1052.3958892822266,0.012274384498596191,0.037838757038116455,240.77097,11.444036,263.37582,14.629106
44,4738.893951416016,1053.3054962158203,0.021639704704284668,0.037445008754730225,238.48805,11.4278555,263.4836,14.682732
45,4696.34806728363,1054.063705444336,0.030234098434448242,0.037155330181121826,236.39305,11.411615,263.5629,14.727533
46,4656.288670539856,1054.401840209961,0.03829479217529297,0.03721493482589722,234.42815,11.393108,263.54657,14.762316
47,4616.862672805786,1053.8274383544922,0.046224117279052734,0.038079261779785156,232.49527,11.369013,263.30997,14.783137
48,4587.896482467651,1054.3349304199219,0.052080512046813965,0.03789794445037842,231.06769,11.352788,263.35962,14.801763
49,4560.080638885498,1053.3809814453125,0.05765378475189209,0.039021313190460205,229.70914,11.337668,263.0521,14.812091
50,4528.588966369629,1051.8761138916016,0.0640031099319458,0.04061484336853027,228.1614,11.315769,262.6159,14.815922
51,4493.085069656372,1048.3910675048828,0.07112324237823486,0.044006168842315674,226.4258,11.289022,261.6876,14.8097
52,4469.197336196899,1046.3871459960938,0.07592266798019409,0.04598844051361084,225.25586,11.276696,261.145,14.814901
53,4442.624821662903,1043.1888580322266,0.08126258850097656,0.04904794692993164,223.9542,11.25478,260.3075,14.804666
54,4411.159547805786,1038.4608306884766,0.0876004695892334,0.053497493267059326,222.40924,11.219505,259.08948,14.777605
55,4379.170998573303,1033.0134887695312,0.09405297040939331,0.05858820676803589,220.83636,11.178124,257.69598,14.7363405
56,4352.067022323608,1028.1746520996094,0.09953629970550537,0.06308424472808838,219.49973,11.144984,256.46527,14.702952
