MD,TVD,RPMA,WOBA,MFIA,HKLA,TQA,SPPA,DBTM,STKC,MFOA,ROPA
1943.2,1568.86,81.23,5.51,1807.5,78.23,15.82,10.43,1943.85,114105.0,39.08,26.16
1943.3,1568.94,79.57,5.42,1807.61,78.31,15.28,10.38,1943.95,114128.99,39.89,26.16
1943.4,1569.02,79.22,5.28,1807.38,78.45,14.88,10.39,1944.05,114154.99,38.92,25.57
1943.5,1569.1,81.44,5.25,1807.73,78.49,13.53,10.34,1944.15,114177.0,39.07,25.57
1943.6,1569.18,80.52,5.26,1807.26,78.48,15.3,10.38,1944.22,114195.0,38.99,25.57
1943.7,1569.26,80.35,5.27,1807.73,78.47,15.64,10.32,1944.33,114221.0,38.41,25.57
1943.8,1569.34,79.13,5.23,1807.73,78.51,15.24,10.29,1944.42,114241.99,38.32,25.57
1943.9,1569.42,79.0,5.18,1807.73,78.56,15.96,10.34,1944.51,114263.99,39.08,25.57
1944.0,1569.5,77.49,5.1,1807.73,78.64,18.66,10.22,1944.63,114291.0,39.13,25.57
1944.1,1569.58,80.94,5.08,1807.73,78.65,12.32,10.37,1944.72,114311.0,39.2,25.57
1944.2,1569.66,80.18,5.25,1807.61,78.49,15.92,10.45,1944.8,114330.0,38.83,25.57
1944.3,1569.74,80.53,5.27,1807.73,78.47,18.23,10.37,1944.93,114358.99,38.82,25.57
1944.4,1569.82,80.01,5.15,1807.73,78.59,14.89,10.39,1945.01,114375.0,38.96,26.26
1944.5,1569.9,79.64,5.24,1807.38,78.5,16.44,10.43,1945.1,114397.0,39.26,26.26
1944.6,1569.98,80.38,5.35,1807.61,78.39,16.38,10.39,1945.23,114427.0,39.11,26.26
1944.7,1570.06,79.83,5.15,1807.73,78.58,16.56,10.31,1945.31,114443.0,39.07,26.26
1944.8,1570.14,78.46,5.21,1807.73,78.53,15.89,10.29,1945.41,114466.99,38.8,26.26
1944.9,1570.22,79.58,5.39,1807.38,78.35,15.57,10.31,1945.52,114490.99,38.85,26.26
1945.0,1570.3,78.84,5.4,1807.02,78.34,14.83,10.32,1945.59,114507.0,38.83,26.26
1945.1,1570.38,79.93,5.28,1807.38,78.45,14.41,10.37,1945.69,114529.0,38.43,26.26
1945.2,1570.46,80.59,5.26,1807.73,78.47,16.07,10.43,1945.79,114553.0,38.4,26.26
1945.3,1570.54,79.51,5.47,1807.73,78.26,12.95,11.21,1945.83,114574.99,38.32,26.26
1945.4,1570.62,80.24,5.37,1807.61,78.37,15.71,10.53,1945.83,114597.0,37.47,26.26
1945.5,1570.7,78.73,4.49,1807.5,79.24,12.76,10.25,1945.86,114619.0,37.84,26.26
1945.6,1570.78,79.46,4.38,1807.73,79.36,15.43,10.18,1945.92,114641.0,37.95,26.26
1945.7,1570.86,80.01,4.42,1807.61,79.31,14.15,10.13,1945.99,114666.0,38.9,26.26
1945.8,1570.94,79.14,4.5,1807.73,79.24,14.74,10.14,1946.04,114684.99,38.74,20.82
1945.9,1571.02,79.42,4.8,1807.5,78.93,14.31,10.15,1946.31,114758.97,38.4,20.82
1946.0,1571.1,80.05,4.79,1807.5,78.95,16.66,10.24,1946.46,114800.0,38.63,20.82
1946.1,1571.18,78.52,4.84,1807.73,78.89,17.01,10.22,1946.56,114825.0,38.51,20.82
1946.2,1571.26,80.41,4.85,1807.38,78.89,14.36,10.24,1946.7,114859.0,38.33,20.82
1946.3,1571.34,79.84,4.89,1807.73,78.85,16.26,10.31,1946.8,114885.99,38.54,20.82
1946.4,1571.42,79.42,4.86,1807.38,78.88,16.08,10.34,1946.9,114909.99,38.38,20.82
1946.5,1571.5,79.15,4.82,1807.73,78.91,17.32,10.33,1947.0,114935.0,38.47,20.82
1946.6,1571.58,78.22,4.89,1807.14,78.85,17.31,10.34,1947.1,114959.0,38.38,22.58
1946.7,1571.66,79.59,5.03,1807.26,78.71,16.0,10.36,1947.23,114988.0,38.29,22.58
1946.8,1571.74,80.45,4.92,1807.38,78.82,17.85,10.54,1947.32,115007.99,38.25,22.58
1946.9,1571.83,80.23,5.28,1807.73,78.46,13.42,10.57,1947.38,115037.99,38.25,22.58
1947.0,1571.91,79.74,4.78,1807.5,78.96,15.51,10.26,1947.4,115058.0,38.31,22.58
1947.1,1571.99,80.72,4.29,1807.73,79.45,15.33,10.14,1947.47,115084.0,38.36,22.58
1947.2,1572.07,80.83,4.23,1807.26,79.51,15.63,10.15,1947.54,115109.0,38.18,22.58
1947.3,1572.15,80.91,4.28,1807.61,79.46,13.26,10.12,1947.6,115123.99,38.17,22.58
1947.4,1572.23,79.25,4.49,1807.73,79.25,15.73,10.2,1947.72,115153.99,39.29,22.58
1947.5,1572.31,80.27,4.51,1807.73,79.22,15.65,10.19,1947.95,115214.0,37.86,22.58
1947.6,1572.39,79.96,4.55,1807.73,79.19,14.41,10.19,1948.08,115244.0,38.1,21.07
1947.7,1572.47,78.64,4.48,1807.38,79.25,15.12,10.15,1948.19,115272.0,38.13,21.07
1947.8,1572.55,78.77,4.46,1807.73,79.28,13.54,10.17,1948.31,115297.99,38.11,21.07
1947.9,1572.63,79.31,4.46,1807.61,79.28,16.97,10.17,1948.41,115321.99,38.24,21.07
1948.0,1572.71,79.76,4.67,1807.73,79.07,16.92,10.18,1948.51,115348.0,38.49,21.07
1948.1,1572.79,79.66,4.62,1807.73,79.12,16.62,10.24,1948.6,115370.0,38.27,21.07
1948.2,1572.87,79.85,4.82,1807.61,78.92,16.41,10.21,1948.72,115396.0,38.16,21.07
1948.3,1572.95,78.85,4.85,1807.38,78.89,15.94,10.28,1948.81,115417.99,37.88,21.07
1948.4,1573.03,79.87,4.67,1807.73,79.07,17.67,10.28,1948.9,115440.0,37.83,21.07
1948.5,1573.11,80.13,4.77,1807.73,78.96,17.04,10.24,1949.0,115464.0,37.57,21.07
1948.6,1573.19,78.16,4.93,1807.5,78.81,14.56,10.25,1949.09,115486.0,38.07,25.35
1948.7,1573.27,78.24,4.8,1807.73,78.94,15.56,10.3,1949.2,115512.0,38.26,25.35
1948.8,1573.35,78.09,4.72,1807.5,79.02,18.03,10.49,1949.31,115537.99,37.51,25.35
1948.9,1573.43,80.28,4.87,1807.38,78.86,14.28,10.48,1949.4,115557.99,37.57,25.35
1949.0,1573.51,78.76,4.83,1807.26,78.91,14.8,10.39,1949.49,115580.0,37.95,25.35
1949.1,1573.59,79.24,4.9,1807.73,78.83,16.72,10.42,1949.59,115606.0,37.78,25.35
1949.2,1573.67,79.47,4.88,1807.73,78.86,15.8,10.35,1949.69,115628.0,37.27,25.35
