,train_depth,train_true,train_pre,train_depth,test_true,test_pre
298,1168.026,20.5,5.295553,530.652,50.78,5.201636
299,1167.151,21.21,5.2728186,528.202,50.58,5.2070074
300,1165.251,16.53,5.4396367,526.177,48.48,5.228297
301,1164.176,23.08,5.2611933,523.977,50.14,5.248941
302,1162.801,48.74,5.2608223,521.677,51.61,5.266603
303,1161.426,46.08,5.3005166,519.527,43.95,5.395968
304,1160.351,47.64,5.274598,515.252,9.48,5.654959
305,1159.151,47.09,5.3004584,512.677,58.29,5.190846
306,1157.976,42.68,5.3636127,510.502,58.26,5.1754537
307,1156.726,45.61,5.3236184,507.977,55.46,5.206612
308,1155.551,48.92,5.286466,504.827,63.95,5.1231694
309,1154.426,39.15,5.4380574,502.752,60.99,5.2037063
310,1153.351,36.51,5.4804697,499.252,64.68,5.1697197
311,1152.126,34.02,5.53146,496.952,52.7,5.320019
312,1151.026,35.22,5.5200076,495.527,52.86,5.304343
313,1150.126,34.45,5.5248904,493.752,51.5,5.31997
314,1148.926,32.95,5.345154,492.002,54.95,5.302212
315,1147.776,39.89,5.2440753,489.602,59.68,5.213094
316,1146.501,37.74,5.3048177,487.227,61.0,5.2235246
317,1145.426,36.79,5.3126016,484.927,65.69,5.1710453
318,1144.201,31.68,5.45112,482.677,68.76,5.161052
319,1143.126,33.55,5.399295,479.752,68.76,5.182194
320,1142.001,37.91,5.28706,477.602,70.83,5.1905236
321,1140.701,37.8,5.288428,474.877,65.56,5.1805043
322,1139.526,34.74,5.343782,472.677,66.89,5.1697564
323,1138.201,13.14,5.840409,470.302,61.96,5.23005
324,1137.251,45.54,5.2526636,467.852,59.69,5.259936
325,1135.976,31.476667,5.5238085,465.427,66.82,5.1621165
326,1134.801,26.86,5.6366405,462.502,73.42,5.2040954
327,1133.851,26.08,5.659579,459.227,66.92,5.2767687
328,1132.926,25.81,5.679666,457.502,64.61,5.3188314
329,1131.851,27.44,5.514405,455.202,63.24,5.2994294
330,1130.926,25.99,5.3141637,452.927,62.42,5.303119
331,1129.751,26.28,5.2970257,450.977,61.68,5.2987223
332,1128.751,26.13,5.3027153,448.677,62.26,5.2869954
333,1127.776,29.74,5.2483406,446.377,65.79,5.237642
334,1126.676,32.84,5.2529097,443.777,85.12,5.193646
335,1125.401,23.61,5.480425,441.327,81.25,5.24491
336,1123.401,17.88,5.6706,438.677,87.37,5.194769
337,1122.226,29.65,5.345202,436.777,75.5,5.294695
338,1121.151,25.35,5.465382,434.602,59.38,5.4087167
339,1118.326,28.62,5.3519154,432.502,63.66,5.363121
340,1117.326,20.41,5.532166,430.302,61.63,5.3857384
341,1116.326,20.42,5.528056,426.702,58.42,5.426461
342,1115.426,27.6,5.311368,424.252,63.89,5.2529597
343,1114.226,30.0,5.2738037,421.677,77.64,5.1914907
344,1113.201,28.15,5.315817,419.102,82.09,5.164045
345,1112.326,29.54,5.290702,416.852,75.81,5.2252407
346,1111.351,30.49,5.286636,414.077,53.02,5.4671116
347,1110.226,26.25,5.372276,412.252,54.44,5.439199
348,1109.351,13.38,5.7677197,410.727,44.86,5.5698833
349,1108.301,21.46,5.490787,408.427,82.47,5.159608
350,1092.651,68.96,5.4781747,406.002,81.76,5.163736
351,1091.201,62.36,5.560335,403.277,70.71,5.2742953
352,1089.976,79.21,5.40782,400.977,78.04,5.1965947
353,1088.451,25.82,5.8535633,398.502,81.64,5.1961374
354,1087.376,28.06,5.8570576,395.777,55.12,5.4504385
355,1086.276,30.7,5.831136,392.877,61.79,5.350398
356,1085.376,35.72,5.784573,390.977,63.2,5.3334374
357,1084.201,24.46,5.8572793,388.627,63.17,5.331162
358,1082.176,14.71,5.806575,385.902,57.4,5.3065147
359,1081.226,9.31,5.8372912,383.977,66.4,5.127437
360,1080.476,27.7,5.455596,381.902,62.65,5.20216
361,1079.676,38.84,5.2653127,379.227,59.18,5.244042
362,1078.526,55.84,5.254152,377.052,59.16,5.2425437
363,1054.001,63.32,5.2539935,375.152,55.48,5.267833
364,987.451,53.85,5.392771,373.452,55.26,5.266101
365,980.276,79.27,5.27216,370.977,54.79,5.216664
366,978.926,49.3,5.614427,368.502,62.81,5.1521134
367,977.351,73.07,5.3399706,365.752,60.61,5.2363033
368,951.876,98.16,5.2903776,362.652,65.41,5.189462
369,948.376,90.16,5.3412952,360.577,69.16,5.150244
