,train_loss,test_loss,train_acc,test_acc
180,9943.152465820312,3609.2914428710938,-4.541361025157706,-2.199489740171233
181,9931.435516357422,3605.1136474609375,-4.5351208302650425,-2.1957862379672584
182,9919.729888916016,3600.9402465820312,-4.528886373558159,-2.1920866547715727
183,9908.035919189453,3596.7709350585938,-4.522657616549202,-2.1883909092682945
184,9896.35366821289,3592.6061401367188,-4.51643448504178,-2.1846990246095483
185,9884.682891845703,3588.44580078125,-4.510217240549959,-2.18101115205047
186,9873.023529052734,3584.2902221679688,-4.504005748512762,-2.177327205585594
187,9861.375732421875,3580.1387939453125,-4.497799968089601,-2.1736471420187837
188,9849.740112304688,3575.99169921875,-4.491600061141116,-2.169971063096186
189,9838.11557006836,3571.8494262695312,-4.485405941774801,-2.166298899845292
190,9826.502960205078,3567.7111206054688,-4.47921758008256,-2.1626306260343284
191,9814.902069091797,3563.5777587890625,-4.473035130503323,-2.1589663515850335
192,9803.312744140625,3559.4481201171875,-4.466858439173138,-2.155306034567993
193,9791.734832763672,3555.3236083984375,-4.460687517408988,-2.1516496434390673
194,9780.168853759766,3551.2033081054688,-4.454522457322421,-2.1479972476075258
195,9768.614318847656,3547.087890625,-4.448363134488458,-2.1443487153843077
196,9757.072143554688,3542.9762573242188,-4.442209700447305,-2.1407041710309747
197,9745.540466308594,3538.8695068359375,-4.436061979028293,-2.137063533285246
198,9734.021484375,3534.7671508789062,-4.429920217555012,-2.1334269446216045
199,9722.513946533203,3530.6688842773438,-4.423784145728487,-2.1297942181777527
200,9711.018737792969,3526.5756225585938,-4.417654032332218,-2.1261655666486137
201,9699.534088134766,3522.4867553710938,-4.411529668243841,-2.122540813955606
202,9688.061798095703,3518.4022216796875,-4.405411263208575,-2.1189200742030976
203,9676.600677490234,3514.3219604492188,-4.399298506763615,-2.1153032358803565
204,9665.15185546875,3510.246337890625,-4.393191710607594,-2.1116904012083757
205,9653.714477539062,3506.1752319335938,-4.3870906447351095,-2.108081471587706
206,9642.289367675781,3502.1084594726562,-4.38099536114332,-2.1044764965876936
207,9630.875244140625,3498.0462646484375,-4.374906071054856,-2.100875556901946
208,9619.473175048828,3493.9884643554688,-4.3688224856641185,-2.0972785171370547
209,9608.08251953125,3489.9353637695312,-4.3627447631022624,-2.0936855003827013
210,9596.704040527344,3485.8868408203125,-4.356673017250255,-2.0900965849279025
211,9585.337585449219,3481.8425903320312,-4.350607022548926,-2.08651156829533
212,9573.982208251953,3477.8029174804688,-4.344546917776224,-2.082930576010441
213,9562.638763427734,3473.7677001953125,-4.338492644505753,-2.079353589197101
214,9551.307037353516,3469.7371215820312,-4.332444175428298,-2.07578056452753
215,9539.987396240234,3465.7110595703125,-4.326401601675935,-2.0722115783628374
216,9528.678680419922,3461.6893920898438,-4.320364754787045,-2.068646525989698
217,9517.382354736328,3457.6721801757812,-4.314333777253507,-2.065085505384644
218,9506.097686767578,3453.6597290039062,-4.308308731544903,-2.0615285298442187
219,9494.824829101562,3449.6519165039062,-4.302289541632662,-2.0579755881144477
220,9483.563110351562,3445.6478881835938,-4.296276230390133,-2.054426626862789
221,9472.314178466797,3441.6491088867188,-4.290268725674419,-2.050881696364622
222,9461.076568603516,3437.6546630859375,-4.2842671017375205,-2.0473407624747737
223,9449.85092163086,3433.6647338867188,-4.278271304747978,-2.0438038400464675
224,9438.63687133789,3429.678955078125,-4.2722813792866905,-2.040270907243157
225,9427.434387207031,3425.6984252929688,-4.266297287718253,-2.036741944175421
226,9416.243408203125,3421.7218017578125,-4.2603190527984,-2.0332169888029874
227,9405.06509399414,3417.7499389648438,-4.254346633501955,-2.029696016710499
228,9393.897735595703,3413.782470703125,-4.2483800930009945,-2.0261790688441783
229,9382.74282836914,3409.8197021484375,-4.242419364987471,-2.0226661139137048
